Counterfeit
95,137,180,148,127,137,148,148,116,95,95,106,106,84,42,42,42,42,53,42,31,42,74,106,106,74,74,63,63,63,53,53,84,106,95,63,42,31,31,31,31,31,31,31,31,53,63,63,31,31,74,63,21,21,42,53,42,31,21,10,0,0,0,21,21,31,53,106,148,190,222,233,243,254,254,254,243,233,243,233,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,48,106,156,156,147,156,171,213,238,221,229,221,171,97,65,73,57,48,23,23,40,32,32,57,82,73,65,57,57,57,48,65,82,89,82,57,23,32,57,57,40,23,15,7,0,15,32,23,23,48,48,32,57,48,40,48,40,32,48,48,32,32,40,57,57,89,139,196,229,238,238,238,229,213,213,221,238,253,255,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,51,110,187,187,170,161,170,195,204,187,178,170,144,85,25,34,51,51,42,25,25,34,25,51,85,68,68,59,51,25,17,34,59,68,51,17,17,17,34,17,8,0,0,8,8,17,17,17,34,51,25,17,42,34,42,42,17,17,25,34,17,17,17,25,34,68,136,195,229,246,238,246,255,255,255,255,246,238,238,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,65,131,196,180,164,155,180,196,196,172,172,180,155,98,32,41,57,65,49,32,24,49,49,65,65,65,65,57,41,24,16,32,65,65,65,49,49,49,57,32,32,24,8,8,32,49,41,32,57,65,32,16,32,32,32,24,16,16,16,16,0,0,0,8,24,57,123,172,213,221,237,237,246,254,254,254,246,237,237,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,149,140,140,123,96,70,61,70,79,79,35,26,44,35,35,17,17,44,61,79,70,61,52,52,44,35,26,44,52,52,44,44,44,44,35,26,26,26,17,35,52,61,52,44,44,44,26,0,17,17,26,26,17,0,17,17,17,17,17,35,52,79,132,167,184,202,211,202,211,202,202,211,220,228,237,237,255,255,246,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


Real 
211,140,114,211,237,220,193,193,220,202,158,132,123,132,123,105,52,52,44,61,61,35,35,52,88,105,88,79,88,88,88,70,70,79,96,105,79,79,61,26,35,44,52,52,44,17,26,79,88,52,70,114,52,17,26,52,44,17,17,17,0,8,17,17,17,44,61,105,132,123,123,158,193,228,237,228,237,246,255,237,237,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,65,16,98,164,164,123,98,123,164,180,172,180,172,147,82,24,32,41,32,0,0,32,32,32,90,90,65,57,41,32,8,8,32,57,57,32,16,24,49,65,49,41,32,8,0,8,32,32,16,32,65,65,32,65,57,49,49,32,24,32,32,8,0,0,16,16,32,98,164,205,213,237,246,254,246,246,254,254,254,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
